Experience Name,Description,Intended Age Range (years old),Content Difficulty (1-3),Topics,GS Assistance,"GS Priority/
Popularity",Average Visitor Duration,Copy,More Copy
The Octopus,"Exhibit that highlights Les Paul's The Octopus, the first ever multi-track recording system. ",,3,,No,5,,"The Octopus
Les got the idea for this monster back in 1953. He wanted true multi-track recording, a device that would allow him to record multiple, independent tracks that were synced together. His friends at Ampex had helped him in the past, and they jumped at the chance to build something so revolutionary. It took them about a year to build it, and it cost Les $14,000. Les wasn't happy. ""The speeds were off, the EQ was unacceptable, and there was a million other bugs that had not been worked out"", said Les. So he shipped it back. Ampex worked on it some more. They shipped it back. This went on for a while. Les still wasn't happy. Four years later, in 1957, Les and his design guy, Rein Narma, finally got it right, and Les was able to record. You're looking at the first true 8-track recorder, the machine that changed music forever.",
Theremin,"Experience that allows guests to play the Theremin, an electronic instrument that doesn't require physical contact from the user. ",,1,,No,2,,"Theremin
This instrument is ""hands-off""! The Theremin makes sound without being touched. It works by detecting how close you are to its two antennas. The tube antenna controls pitch (how high or low the sound is), and the flat antenna controls volume (how loud or soft the sound is). Moving your hands closer or farther away from the antennas changes the electric charge, which the theremin translates into sound.",
Bernoulli Table,Early-learning experience where guests can view Bernoulli's principle in action with plastic balls. ,3 - 7,3,"aerodynamics, physics",No,2,1 - 2 mins,"Bernoulli's Principle & Flight
Slower moving fluids (liquid or gas) exert more pressure than faster moving fluids. An aircraft's wing is curved on top and flat on the bottom. Air traveling over the top of the wing moves faster than under the wing. This generates higher pressure on the bottom of the wing, causing lift.",
Energy Into Motion,A four-stroke piston engine which guests can hand crank and ignite to operate.,5 - 10,2,"engines, pistons, simple machines, physical activity",No,3,~1 min,"Energy Into Motion
The force of the explosion drives a piston downward. The piston drives a connector rod. The connector rod drives the crankshaft. The crankshaft turns the up and down motion of the engine into a circular motion that drives the wheels.",
Excavator,Life-sized excavator which guests can control to scoop wood chips.,6 - 12,2,"construction, engines, simple machines, fluid dynamics",No,2,5 - 10 mins,"Multiplying the Multiplier
A lever can help you lift a boulder. A lever and a hydraulic cylinder can help you move a mountain. On this excavator, each hydraulic cylinder is attached to a moving part of the excavator. The pressure from the hydraulic pump is multiplied by the cylinder and again by the boom, arm, and bucket, which act like levers.
The Hydraulic Circuit
A hydraulic circuit is kind of like an electrical circuit.
There are hoses instead of wires and fluid instead of electricity. Instead of the electromotive force (Volts) pushing electrons along, a pump pushes fluid through the circuit. In a hydraulic circuit, the engine turns the hydraulic pump. The pump pushes fluid through a hose to the control valve. Valves choose the route the fluid takes. For instance, the valve can route the fluid to extend or retract the cylinder's piston. The pistons inside the cylinders extend and contract the arm, and the bucket.
Why Hydraulic Power?
• Simplicity! Eliminate the gears, cams, chain drives, and pulleys.
• Efficiency! Fewer moving parts means a more efficient machine!
• Power! Transform small forces into incredibly large forces!
• Control! Manage large forces with small forces!
• Flexibility! Transmit force into difficult spaces!
FORCE
/FÖRS/
A push. A pull. A force is an interaction that changes the motion of an object.
PRESSURE 
/PRESHER/
Force exerted over a given area.",
Flight Simulator,Simulation experience where guests can digitally take control of an airplane using realistic controls. ,All Ages,1,"planes, flight, aerodynamics, simulator",Yes,1,5 - 10 mins,*No central copy,
Fluid Power,"Using fluid dynamics, the user is able to spin a series of fans elsewhere in the exhibit. ",10 - 18,3,"fluid dynamics, ",No,4,1 - 2 mins,"Fluid Power, Fluid Freedom.
Hydraulic power frees you from gears, cams, chain drives, and incredibly heavy motors. It allows you to design all kinds of wild and wonderful machines capable of doing incredible things.
Fluid Power is Flexible
Hydraulic Fluid transmits pressure in every direction, but fluid pressure can be guided easily through hoses. Hoses are small and bendable. You can route them wherever you need them to go. Hydraulic pumps are small and light. You can place them almost anywhere on your machine.",
Four-Cycle Engine,Basic piston engine that highlights the four main steps in a piston engine's process. ,8 - 18,2,"engine, pistons, simple machines",No,5,1 min,"I: INTAKE
The piston moves downward and pulls a mixture of fuel and air into the cylinder. The intake valve is open.
2: COMPRESSION
The piston moves upward compressing the mixture of fuel and air. Both the intake valve and the exhaust valves are closed.
3: COMBUSTION
The mixture of compressed fuel and air is ignited by a spark from a spark plug. The force of the explosion drives the piston downward and provides the power to turn the crankshaft.
4: EXHAUST
The exhaust valve opens. The piston moves upward pushing the exhaust out of the engine. Ideally, at 800 revolutions per minute (rpm) a spark plug fires 400 times.",
Helicopter Sim,Simulated helicopter controls that allows guests to manipulate basic controls while learning what they do. ,All Ages,1,"simulator, aerodynamics, flight",No,3,2 - 3 mins,"Collective Pitch Control
The Collective Control is the up and down control. If the helicopter is level, this will make it to go up or down, but if the helicopter is tilted forward, it will increase the speed.
Tail Rotor Pedals
The Tail Rotor Pedals, or Anti-Torque Pedals, are used to turn the helicopter to the left or to the right. The pilot pushes the left pedal to increase the pitch of the tail rotor and turn to the left. Pushing the right pedal decreases the pitch of the tail rotor and turns the helicopter to the right.
Cyclic Control Stick
The Cyclic Control Stick (Joystick) moves the helicopter forward and backward. Moving the stick forward and back will point the nose of the helicopter up or down. This is accomplished by changing the angle of the rotor blades.",
Power Density,"In this exhibit, visitors can directly compare different power outputs. Using hydraulics, they can lift themselves off the ground, showcasing its high power density. This experience is contrasted with an electric engine, which, due to its lower power density, cannot lift the user.",10 - 18,3,"power density, energy, physics, batteries",No,4,1 - 2 mins,"Power Density
This small hydraulic pump is all you need to lift a bunch of your friends. It would take an electric motor about 10x larger and heavier to lift the same bunch of friends. Hydraulic pumps have a very high power density. There's a whole lot of power in a small package.
156LBS
A 40 hp A40-5 airplane engine weighs about 156 lbs.
520LBS
A 40 hp electric motor weighs about 520 lbs.
40LBS
A 40 hp hydraulic pump weighs about 40 lbs.",
Air Cars,"Users assemble cars and test them to see how far they can travel. Once ready, they can set the pressure of a launcher and watch the affects it has on their creation.",4 - 12,1,"aerodynamics, physics, cars, friction",No,2,4 - 6 mins,"Where Does Energy Come From?
Your little race car runs on the energy stored in compressed air. You pumped the air into the car using the compressor. The energy you used to pump air into your car comes from the food you eat. The energy stored in the food you eat comes, directly or indirectly, from the sun.
Did You Know?
For every action there is an equal (in size) and opposite (in direction) reaction. Air rushes out of the car in one direction pushing the car in the other direction.
TRY OUT DIFFERENT CARS TO SEE HOW THEY COMPARE",
Air Rockets,Guests use bottles and pressurized air to build their own rockets that can be launched up into the air.,4 - 12,1,"aerodynamics, rockets, Isaac Newton, gravity, motion, physics",No,2,4 - 10 mins,"Blast Off
A rocket's engine is also called a reaction engine after Newton's Third Law. Incredibly hot exhaust gas rushes downward pushing the rocket upward into space.
Did You Know?
It took nearly 300 years from the time Sir Isaac Newton mathematically described Gravity and Motion to the time Neil Armstrong took his historic first step on the moon.",
Info Panels - Physics Concepts,Informational panels located around the perimeter of the space that explains common physics concepts in accessible language.,7 - 16,2,"physics, force, gravity, acceleration, friction, energy, time, reading-heavy",No,-,3 - 5 mins,"What Is ENERGY?
That's a big question. Energy is... a thing. A property of matter. It can be turned into work, though not always. It can be stored, sometimes for millions or billions of years. It can be transferred from one form to another. Energy, to put it simply, ""makes everything go"". Energy makes humans go. We run on the chemical energy stored in food. This energy comes, indirectly, from the sun. We transform this energy into work and play and laughter and everything else. Energy makes our world go. Civilization runs on the chemical energy stored in stuff we set on fire - oil, natural gas, coal, garbage, wood, etc.* This energy comes, indirectly, from the sun. We transform this stored energy into heat and electricity, which we turn into work.
Energy cannot be created. It cannot be destroyed. It can only be transferred. But what is energy? That's a big question.
*Increasingly, we also transform the energy of wind, falling water, and the sun into heat and electricity and work.
What Is GRAVITY?
That depends on who you ask. Sir Isaac Newton described Gravity mathematically, but he had no idea what it was. He decided it was a Force. Other than that, he wouldn't even make a guess. Albert Einstein figured out that Gravity is really the warping of spacetime caused by matter. The Earth orbits the sun because the Sun's enormous mass warps the fabric of spacetime, creating a ""dent"" in the Universe that the Earth and the other planets follow. The Earth creates its own ""dent"" in the fabric of spacetime that the moon follows. You also make a
""dent"" in the fabric of spacetime. Not a very big one, though.
What is ACCELERATION?
A skydiver leaps out of an airplane and plummets towards Earth. She accelerates in a downward direction at roughly 10 meters per second per second. Soon there is a balance between air resistance and gravity, as our skydiver reaches a constant speed of 54 meters per second or 122 miles per hour. 122 miles per hour is not an optimal landing speed, so our skydiver (as intelligent as she is intrepid), opens her parachute. The parachute increases the amount of air resistance, slowing her descent. She accelerates again, this time in the opposite direction. Acceleration is a change in speed and direction in a given amount of time. So it can mean both ""speeding up"" and ""slowing down"". What we call ""deceleration"" is simply acceleration in the opposite direction.
What Is FRICTION?
Why do your hands get warm when you rub them together rapidly for a few seconds? Why do car engines need oil? Friction. Slide two surfaces against each other and the result is friction. Friction is a resistive force that slows things down as it transforms motion into heat. Friction also happens within fluids and inside materials as they bend. Your hands get warm because friction transforms the motion of your hands into heat. Your car needs oil because without it, all those moving parts in the engine would grind together creating an incredible amount of wear and an incredible amount of heat in a very short amount of time. Friction isn't all bad. There's plenty of friction between the road and the tires on your car, which allows you to do neat things like steer and turn.
What Is TIME?
We understand time on a human scale - moments, days, seasons, and years. We measure Time by the periodic motion of pendulums or the periodic vibrations of quartz crystals and cesium atoms. We use Time to coordinate our lives. But what is Time? What is it made of? We know that it is part of the fabric of the universe, that it is bound up with entropy, that events are irreversible, that we remember the past but not the future. We know that in the far distant future, when the universe reaches a fully disordered state, time will cease to be. Of course, the most important question is... can we build a time machine and go see it?
What Is FORCE?
A force is a push or pull in a given direction. The Force is an energy field created by all living things that surrounds us and penetrates us and binds the galaxy together.",
Info Panels - Newton's Laws,Informational panels located around the perimeter of the space that explains Newton's Laws in accessible language.,7 - 16,2,"Isaac Newton, physics, reading-heavy",No,-,3 - 5 mins,"Meet ISAAC NEWTON
Isaac Newton was an English physicist, mathematician, astronomer, and chemist. Building on the work of Galileo and Johannes Kepler, Newton mathematically described the Laws of Motion and Gravity way back in 1687. He also invented Calculus. Newton didn't get everything right (honestly, who does?), but he got a lot right. He helped build the foundations of modern science.
""I do not know what I may appear to the world, but to myself I seem to have been only like a boy playing on the sea-shore... whilst the great ocean of truth lay all undiscovered before me."" - Isaac Newton
Newton's First Law of Motion INERTIA
Place a soccer ball on a field, and it just sits there. The forces acting on the soccer ball - gravity and the upward force of the ground holding up the ball - are balanced. The ball is at rest. Unless something happens to it, the soccer ball will stay at rest until the end of time. That's inertia, a property of matter. Now take that soccer ball, get in a rocket, and soar into interstellar space. Put on your spacesuit, grab the soccer ball, and exit the rocket. Give the soccer ball a good kick. At first the soccer ball will accelerate until it reaches a constant speed. If no other forces act on the soccer ball, it will travel at a constant speed in a constant direction until the end of time. This, too, is inertia. Newton's First Law states that objects tend to remain at rest or in motion at a constant speed unless acted upon by an outside, unbalanced force.
Newton's Second Law of Motion FORCE = MASS x ACCELERATION
You're on a soccer field. In front of you is a soccer ball at rest. The forces acting on the soccer ball are balanced.
You are about to change that. You give the soccer ball a big kick. You have provided an outside, unbalanced force. And the soccer ball is no longer at rest. It has accelerated and is sailing through the air down the field. How much force did you give the soccer ball? What was its rate of acceleration? What is the mass of the soccer ball? Newton's Second Law allows you to figure all of this out. The Second Law also states that the rate of acceleration depends on the mass of the object and the size of the force. With a good kick, you can send a soccer ball down the field. The same kick will not send a car down the field. A car, as you already know, has more mass than a soccer ball. Don't kick cars.
Newton's Third Law of Motion ACTION & REACTION
Go ahead and jump straight up into the air. Well done. You used your legs and feet to push yourself upward against the Earth. You also pushed the entire Earth downward with exactly the same amount of force. Newton's Third Law of Motion states that for every action there is an equal (in size) and opposite (in direction) reaction. You jumped up. The entire Earth moved downward. Just a very little bit. The Earth is much more massive than you are.",
Ring Launcher,"Users crank a generator to build power within capacitors. Using electromagnetism, the ring is launched upward. ",4 - 12,1,"aerodynamics, physics, rockets, electromagnet, gravity, motors",No,2,4 - 6 mins,"Crank the generator to charge the capacitors. Flip the switch, and launch the aluminum ring into the air.
How It Works
Current flows to the electromagnet. The electromagnet generates a magnetic field and induces magnetic field in the aluminum ring. The magnetic fields repel each other, forcing the ring upward.
Did You Know?
A generator and a motor are essentially the same thing. A generator turns motion into electricity. A motor turns electricity into work. A generator can be a motor, and a motor can be a generator.
Something Curious
Which ring sails higher? The smaller, lighter ring? Or the larger, heavier ring? Do you know why?",
Sail Cars,"Using aerodynamics, guests can attach a sail to a car and watch as the wind propels it forwards.",6 - 12,1,"aerodynamics, sailing, friction, cars, sailboats, physics",No,4,3 - 5 mins,"How Can a Sailboat Sail Into the Wind?
How Can it Sail Faster than the Wind?
A sail doesn't just catch the air and pull the boat along like a reverse parachute. A sail is really a wing turned on its side. Air flows faster over the curved side of the sail, creating high pressure on the other side. This lifting force pushes the boat both sideways and forward. The strength and directions of the lifting force depend on the angle of the sail. How does a sailboat go forward if the lifting force is also pushing it sideways? The sailboat has another wing in the water, sometimes more than one. The rudder and centerboard cancel out most of the sideways force. The sailboat moves mostly forward.",
Vertical Flyer,"Users can make custom propellors with paper cones and scissors. Once complete, they can test their creations to see how aerodynamic they are. ",4 - 12,1,"gravity, physics, aerodynamics",No,2,3 - 6 mins,"Balanced Forces
An upward force from the column of air meets the downward force of gravity. Can you make the two forces balance each other out?
Customize a Flyer!
Experiment with different cuts on a paper cone to see how it flies.",
Cycle to Power,Guests use workout machines (rowing machine and workout bike) where their energy is converted to power. There are payoffs on the back wall that require certain energy thresholds; if a user reaches the threshold the payoffs are activated.,6 - 16,1,"physical activity, collaboration, energy, sustainability",Float,2,3 - 5 mins,"The Power of You
Students from the Stockholm Academy of Dramatic Arts asked Robert Förstemann to make them some toast. They weren't hungry - they wanted to demonstrate how much power we use compared to how much we could possibly generate ourselves. Robert Förstemann is not a chef - he is a former world champion track cyclist and Olympic medalist from Germany. And the toaster wasn't plugged into the wall. It was plugged into a stationary bike with a generator. Förstemann hopped on the bike and began to pedal. He fought and strained and gave it everything he had. It wasn't easy. Using only muscle power, he generated around 700 watts for about two minutes - a massive effort for a human. Förstemann was completely exhausted, but he managed to make toast. Your toaster is not exhausted after it makes toast. Electricity does a tremendous amount of work for us. How much power can you generate on these bikes?
Cycling to Power
What's Going On? You pedal for 30 seconds. Your effort is measured in kilowatt hours. We multiply your effort by minutes. That's how long you'd have to pedal to make one of the gadgets run for X amount of time. A gadget runs for X amount of time as the kilowatt hours count down.",
Energy Jeopardy,Guests can compete in a Jeopardy style game show with questions regarding energy. ,6 - 18,1,"competition, game show, energy",Float,3,5 - 10 mins,"Your Electric Brain
Your brain is astonishingly efficient considering it's the most complex thing in the universe. It runs on roughly 20 watts, enough to power two LED bulbs. A computer with the same abilities would probably need around a billion watts of power. The billions of neurons in your brain form trillions of connections. Electrical impulses zip along, hopping from neuron to neuron, carrying all kinds of information. Your senses, thoughts, and emotions are electric.",
Future of Fuel,Guests can activate a solar panel and watch as the energy they capture with it is converted to electrolysis to produce an explosion. ,6 - 18,2,"energy, sustainability, hydrogen, solar energy, animation, explosion, batteries",Float,-,1 - 2 mins,"Electrolysis
Using solar power to produce hydrogen might be part of our sustainable energy future. The sun’s radiant energy is converted to electrical energy by photovoltaic panels. This energy is stored in batteries that can be used to power electrolyzers, devices that split water into hydrogen and oxygen gases. Hydrogen and oxygen can be ignited for energy, the energy is sent off to be used, and water is all that’s left. Energy from sunlight and water = nearly zero greenhouse gas emissions!
Solar Powered
Feel the power of the sun! You might have seen the Solar Tree on the Front Lawn at Discovery World, but you probably didn’t notice the extensive PV array on our roof, spanning over 20,000 square feet (about the size of four basketball courts).
Photovoltaic (PV) Panel
A device that captures radiant energy and converts it into electricity. Not to be confused with solar panels; both convert the sun’s energy, but solar panels produce heat rather than electricity.
Hydrogen Electrolysis
The process of splitting water into hydrogen and oxygen using an electric current. The electric current is provided by a device called an electrolyzer.
Radiant Energy
Solar radiation is absorbed by PV panels for renewable energy production.
Electrical Energy
Radiant energy is converted to electrical energy by the PV panel. It is then sent to a battery to be stored.
Explosive Energy
Igniting the hydrogen with some oxygen creates a powerful (and clean) explosion.
Thermal Energy
The heat from the reaction can be released or used for another purpose.",
Gravity Ball Wall,Guests can manipulate different tubs and pathways to watch gravity take a ball down to the end.,4 - 12,1,"building, energy, ",Float,2,3 - 6 mins,"Water Power in Wisconsin
We Energies operates 13 hydroelectric power plants, two of which are in Wisconsin. The first is on the Brule River near Florence. It was constructed in 1919 and can generate up to 5,300 kilowatts. That's enough to power 4,416 toasters. The other is on the Pine River, also near Florence. It was constructed in 1922 and can generate up to 3,600 kilowatts, which is enough to power 3,000 toasters.
Solar Energy
Each day, the Sun does a tremendous amount of work lifting billions of tons of water into the atmosphere. The Sun's energy is stored in this water vapor as gravitational potential energy.
Kinetic Energy
Eventually, the water vapor condenses. Clouds form. The water falls as rain or snow then flows downhill into rivers and eventually back to the ocean.
Electrical Energy
Flowing water can be used to make turbines spin, which causes generators to spin. Generators transform this kinetic energy into electrical energy.",
Run the City,Physical interactive where guests can run in place to generate power for their fictional cities. ,7 - 16,2,"physical activity, competition, energy, city",Float,2,4 - 5 mins,"A Balance of Power
How does We Energies generate and send electricity to Milwaukee right when it's needed? By using multiple types of power plants, each with different strengths. To determine which plants to operate when, We Energies considers the amount of electricity the city needs at various times alongside conditions (like weather) that impact the availability of different power sources. Work together to make all the buildings light up.
Build power plants fast & early.
Some plants require more work to build than others.
Watch the weather.
Storms, wind, the temperature, and the sun can affect how much power is needed and how much you can generate.
Choose the most efficient plant.
Some plants require less work to generate the same amount of energy.
Meet high demand.
Run fastest at dawn and dusk when most people are at home using power.",
Seeing Heat,Experience that shows a user their own reflection through an infrared camera. ,All Ages,1,"energy, aesthetic, heat, light, cameras",Float,2,1 - 3 mins,"Invisible Light
All objects emit infrared light. Some more than others.
You emit more infrared light than an ice cube. Some animals like pit vipers and mosquitos can see infrared light. We feel it as heat.
Visible Light
Most light energy is invisible to us. The energy that our eyes can detect is a mere sliver of the electromagnetic spectrum, Infrared cameras translate invisible energy into images we can see.
Invisible Light Into Information
Infrared cameras are used by firefighters to find people trapped in burning buildings. They are used by electrical workers to find failing equipment. Some astronomers use infrared telescopes. Some cars have infrared cameras that help drivers see at night. Humans use the entire electromagnetic spectrum to explore, discover, and communicate.",
Sun as the Source,"Rotating, circular bench that shows an abstract representation of the energy produced by the sun.",All Ages,1,"sustainability, energy, space, scenic-view",Float,2,1 - 5 mins,"The Sun, The Source
A seething, roiling sphere of incandescent plasma. A massive fusion reactor sustained by its own gravitational collapse. It is mind-bogglingly huge and ridiculously hot. Please don't stare at it. Each year, the Earth receives around 3,800,000 exajoules of energy from the Sun - the ultimate source of energy. It's a staggering amount of energy yet only a tiny fraction of the Sun's total output. This energy drives weather and life. Energy cannot be created on earth - it can only be transformed from solar energy into different types of energy. Plants transform about 3,000 exajoules of this solar energy through photosynthesis. Humans transform and use around 500 exajoules of energy each year. Our energy comes from different sources, including coal, oil, natural gas, water and wind, and directly from the Sun itself. Our planet receives more energy from the Sun in 90 minutes than people use in a year. If we are clever enough, we will never run out of energy. If we are incredibly clever, we might build an entirely new energy future.
The Fusion Engine
The Sun produces energy through the process of thermonuclear fusion. In the Sun's core, the extreme pressure fuses hydrogen atoms together, producing helium atoms. This fusion releases a monstrous amount of energy in the form of high-energy gamma rays. As these gamma rays bounce their way from the center of the Sun to its surface, they lose some energy and become mostly ultraviolet, visible, and infrared light. Energy from the Sun's core can take anywhere from 10,000 to 170,000 years to reach its surface. From there, it takes about eight minutes to reach the Earth. It takes 5,5 hours for light from the Sun to reach Pluto.
Transforming the Sun
The energy stored in oil, coal, and natural gas comes from the Sun. The energy stored in the wind and flowing water comes from the Sun. Even the energy stored in the food you eat comes from the Sun. We transform this stored energy. Wood into heat. Wind into the movement of ships. Water into the motion of millstones. Food into muscle, work, ideas, and technology. Coal into heat into steam into spinning turbines and generators into electricity. Electricity into light, heat, work, information, computation, and machine intelligence. The Sun Powers Life. The Sun Powers Civilization. The Sun Powers You.",
Tornado,Large model that creates a mini-tornado using water vapor,All Ages,1,"weather, energy",Float,3,> 1 min,"Destruction
Tornadoes can toss cars and trucks around like toys, rip trees out of the ground, and tear buildings apart. Pound for pound, tornadoes are the most energetic and destructive storms on the planet.
Wisconsin Tornadoes
Wisconsin averages 23 tornadoes each year. We had 62 back in 2005. We only had four in 2012. Wisconsin tornadoes, on average, last for under 10 minutes and touch ground for three to five miles. The Chetek tornado in May 2017 was on the ground for about two hours and cut an 83-mile path through Wisconsin. Chetek is 40 miles north of Eau Claire.
Heat Energy
Warm, moist air lifts upward as cooler air sinks downward causing rotation within a thunderstorm.
Kinetic Energy
A funnel of swirling air snakes downward from the storm to the ground with winds that can reach speeds of over 300 miles per hour.",
Touch Lightning,Guests put their hand into a chainmail glove and watch as electricity arcs and touches their fingertips.,All Ages,1,"energy, energy transfer",Float,1,1 min,"Could we Harness Lightning Energy?
We could, but it probably wouldn't be worth it. Lightning produces a huge amount of energy within a short amount of time. Capturing it is possible, but storing that energy would be difficult and expensive. Lightning is also wildly unpredictable and thunderstorms are somewhat rare, so it would be an unreliable source of power. And even if we could capture and store a significant percentage of lightning energy, it would amount to an insignificant fraction of the world's energy needs.
Kinetic Energy
Rain, hail, and frozen water collide inside a storm cloud.
The kinetic energy of these collisions is transformed.
Electrical Energy
The top of the cloud becomes positively charged and the base of the cloud becomes negatively charged. Because like charges repel, everything on the ground underneath the cloud becomes positively charged as electrons scramble to get out of the way.
Fingers of electrical energy called ""stepped leaders"" reach down from the cloud to the ground, searching for the path of least resistance. The ground sends up a bolt of energy called a ""streamer"" to meet them. The leader and streamer connect, creating a conductive pathway.
Heat, Light, Electrical, and Sound Energy
That connection creates a ferocious blast of light, heat, sound, and electrical energy - lightning and thunder!",
Van de Graaff,Guests are able to touch a Van de Graaff generator and experience static electricity. ,All Ages,2,"energy, energy transfer",Float,1,2 - 3 mins,"Kinetic Energy Into Electric Potential
Inside the Van de Graaff generator, a drive belt spins over rollers made of different materials, which separates positive and negative charges. A metal brush at the base of the generator conducts negative charge to the ground. Another metal brush at the top of the generator conducts excess positive charge to the metal collector dome. The dome becomes positively charged.
Why do you get Shocked?
There's a big difference in electrical charge between you and the Van de Graaff generator. That electrical charge is looking for the path of least resistance. When you reach out to touch the metal dome, you become the path of least resistance. The charge jumps from the dome to you.
When you hold your hand on the dome, you become positively charged.
Share this Excess Positive Charge with your Friends!
This shock is harmless. An electrical outlet or a power line charge is much more powerful and can be deadly. Do not play with electrical outlets or power lines.",
A Story in Pieces,Interactive experience where guests scan RFID pucks and can see information about an artifact that the puck represents. ,8 - 18 ,2,"artifacts, history, archeology",No,4,2 - 4 mins,"A Story in Pieces
What do you look for when you analyze and remake an artifact?
MATERIALS: What is the artifact made of? Where did the materials come from?
METHODS: How was the artifact made? Which tools and techniques were used?
USE: Was the artifact valuable, ceremonial, or a common, everyday item?
To piece together the story of a people, you must first reconstruct the fragments of the things they left behind. Place the icon on the lighted circle. Rotate the icon to reconstruct the artifact.",
Dendrochronology,"Experience that explains dendrochronology, the study of dating trees based off of their rings. Users are able to touch a tree that has been growing since the 18th century. ",6 - 12,2,"nature, trees, history, archaeology",No,5,1 - 2 mins,"Dendrochronology
The Study of Tree Rings Through Time
Developed in the early 1900s by the astronomer A. E. Douglass, who when he discovered that tree rings record sunspot activity. Each tree ring is a measure of time, and trees from the same area have very similar patterns of ring growth. Wooden beams and timber from a site can be accurately dated by matching the rings to a regions timeline. The first archaeological application occured in 1919, when Douglass used tree-ring analysis to measure the construction dates of two sites in the U.S. southwest.",
Meresamun Mummy,Interactive exhibit that allows users to scroll a small wheel and view different layers of a CT scan taken of the Meresamun Mummy.,6 - 12,2,"mummy, history, archaeology, technology",No,4,1 - 3 mins,"Meresamun Mummy
Computerized Tomography (CT) scanning is a technology used by archaeologists to digitally excavate mummies without damaging their delicate interiors. This is a CT scan of a circa 3000-year-old Egyptian mummy, now housed at the Oriental Museum of Chicago. According to the hieroglyphs on the sarcophagus, the mummy's name was Meresamun, which means ""She Lives for the Amun”. Meresamun was a musician who held the title ""Singer in the Interior Temple of Amun"". The CT scan reveals that Meresamun was a woman with strong cheekbones and wide-set eyes. She had a slight overbite and retained all of her teeth, which were worn down by years of eating coarse, stone ground flour. The scan also reveals a large amount of linen used by her embalmers to wrap the body and fill empty organ cavities. Can you find other physical evidence about how Meresamun might have lived? Used with permission by the Oriental Institute of Chicago.
",
